country,time,latitude,longitude,yield
China,1978-05-08T05:00:16Z,24.622426,113.996757,69
China,2015-08-21T00:27:52Z,31.266878,121.597823,49
China,2001-01-03T00:34:30Z,27.456658,112.175245,99
China,2002-11-12T18:34:20Z,28.074649,119.141473,53
France,1951-05-04T13:38:55Z,47.8890778,-2.8357471,18
China,1972-02-29T14:34:06Z,22.2481519,113.5755553,58
China,1966-10-08T22:59:07Z,27.948308,109.599191,56
China,1952-07-11T01:26:48Z,31.058765,121.315718,25
China,2001-09-26T06:01:24Z,24.094765,116.00509,55
Pakistan,1943-12-19T04:27:50Z,30.663128,73.6658984,98
China,2010-12-08T04:55:19Z,39.109563,117.223371,8
United States,1988-02-27T09:05:47Z,35.1341835,-89.8655563,24
France,1989-03-28T20:01:35Z,44.1675867,2.0308233,25
France,2015-06-10T13:42:01Z,48.792001,2.39851,91
China,2003-06-29T09:00:56Z,39.909214,116.45252,55
Russia,1974-12-22T19:09:08Z,52.286684,104.292306,58
China,1965-10-14T20:29:18Z,25.9152,115.626796,68
Russia,2002-01-17T15:26:50Z,54.2084536,72.9614362,92
China,1979-05-06T20:35:36Z,46.585652,123.915392,7
China,1978-02-23T06:55:36Z,24.808198,118.03177,50
France,2002-12-24T05:24:38Z,44.8501354,-0.5702805,59
United States,1950-05-15T05:54:59Z,32.6901244,-96.937016,51
Russia,1947-08-15T00:01:46Z,54.0474092,38.404411,46
France,2006-07-03T02:07:32Z,48.6366985,2.7912279,44
Russia,2011-03-29T02:08:39Z,45.0052663,41.1199008,67
China,2006-06-07T00:14:33Z,24.031853,104.887114,42
Russia,1990-12-31T11:08:43Z,55.7,37.75,83
China,1953-04-02T18:09:15Z,28.94074,113.447431,49
France,1962-08-08T20:04:34Z,42.7981285,1.5693759,55
United States,1961-07-23T14:38:47Z,35.15,-90.05,67
China,1998-02-15T04:36:31Z,26.201227,105.480028,99
United States,1973-11-04T16:11:40Z,41.8784851,-87.627893,38
Russia,2005-09-09T20:43:47Z,57.1068191,41.7340876,59
China,1969-05-18T15:18:23Z,24.64995,116.156645,5
France,1952-11-15T02:08:53Z,46.5993244,-1.1457859,7
France,2016-08-02T19:24:14Z,45.5839189,5.2733732,48
Russia,1992-08-14T10:45:33Z,42.9895326,131.8411237,51
China,2003-10-14T15:09:45Z,36.608183,101.808485,77
China,1947-04-18T16:48:29Z,22.141482,113.83012,86
Russia,1983-11-15T14:42:34Z,46.4457008,134.3078003,20
China,1968-09-14T02:16:53Z,38.135288,114.397004,42
China,1970-09-02T22:13:08Z,31.644606,119.781147,29
China,1985-03-08T17:42:39Z,27.69965,108.839557,36
United States,1966-04-24T23:37:30Z,37.0098187,-76.4273844,74
China,1993-09-21T08:25:02Z,24.315499,109.410683,22
China,1949-11-23T07:14:28Z,27.646686,116.695522,62
China,1963-02-12T10:51:54Z,39.1921745,117.2630206,76
China,2013-04-23T10:06:46Z,28.491356,112.615076,46
Russia,1974-09-14T09:35:12Z,53.948639,46.6995979,62
China,1970-10-25T11:06:53Z,29.990745,121.49591,97
China,2008-04-17T20:11:15Z,21.547821,107.971826,51
Russia,1962-10-10T21:29:57Z,54.605583,85.392777,74
China,1998-07-24T08:09:45Z,26.245192,114.500401,81
China,1980-06-06T05:23:04Z,30.601966,115.438847,50
China,1969-02-16T02:43:40Z,29.654838,91.140552,5
Pakistan,1955-07-23T09:05:11Z,32.5734842,74.0420093,73
China,1999-12-09T11:33:30Z,29.4724425,110.5437982,45
Russia,2002-12-18T20:51:07Z,59.834171,30.5188521,98
China,1970-11-17T18:30:04Z,40.824367,119.837124,83
United States,1988-02-12T21:06:05Z,33.45,-112.08,44
Russia,1976-11-02T05:39:12Z,55.7538999,37.6451342,73
Russia,1987-09-06T07:58:10Z,52.4219719,85.6978029,96
China,1977-10-30T19:30:47Z,47.247125,127.1219196,41
China,1973-05-04T23:39:50Z,28.138525,109.326383,30
France,1964-04-29T18:30:09Z,48.627474,2.5921846,15
Russia,2001-08-03T22:17:57Z,56.2208485,51.0782323,24
Russia,1949-05-24T14:53:47Z,56.2674828,54.9252541,48
China,1979-11-20T19:02:46Z,30.1755285,121.3325306,19
United States,1966-07-18T22:21:48Z,39.9311729,-104.9739333,12
United States,1970-05-18T09:55:36Z,41.88,-87.62,41
China,1980-08-05T09:57:16Z,37.513068,122.120419,20
France,1949-04-07T20:16:37Z,43.4945737,5.8978018,45
China,1999-02-21T11:58:05Z,22.54484,113.387254,3
China,1951-02-21T04:16:28Z,30.069463,104.616392,34
France,2007-10-25T21:38:51Z,48.8927579,2.2817978,75
China,1959-06-18T08:51:55Z,22.492431,111.075519,95
China,2006-03-16T12:36:08Z,27.517896,109.213644,31
China,2015-08-19T07:44:54Z,29.2813,117.22473,25
China,1959-12-19T04:56:53Z,26.6674,113.449709,17
China,2013-07-03T09:51:37Z,41.654661,126.154678,38
China,1960-04-22T18:13:28Z,40.401045,117.998902,42
Russia,1993-11-04T08:51:13Z,46.524052,41.5008684,93
China,1952-07-12T02:59:42Z,31.26179,121.423664,82
China,2009-12-22T18:47:11Z,28.445307,113.521804,2
China,1970-02-28T22:18:09Z,29.131627,89.498216,22
Russia,1994-08-29T00:13:44Z,71.9666987,102.5000418,60
Russia,2011-12-29T14:19:06Z,55.7756358,37.8348162,96
France,1983-11-03T23:55:03Z,48.0386685,-2.9231898,53
Russia,1948-12-31T17:36:21Z,60.1475268,30.5168633,90
Russia,1942-06-04T10:57:50Z,43.34041,44.01868,55
China,1971-01-16T20:39:09Z,30.321469,120.144771,25
China,1968-12-05T01:34:38Z,22.265811,113.543784,6
China,1969-02-09T10:33:45Z,22.581611,114.205166,94
Russia,2015-09-01T10:23:59Z,56.9084942,36.234674,64
China,1972-05-12T18:55:24Z,61.2323264,7.1061441,93
China,1975-03-16T05:29:53Z,37.029718,116.328206,86
Russia,2004-06-18T05:55:50Z,50.8963676,40.5554489,30
China,1971-03-01T18:36:40Z,47.801401,121.293284,42
China,1977-12-13T22:23:45Z,35.202503,102.521807,24
Russia,1957-07-22T21:37:18Z,60.9596322,34.0219218,5
Russia,2002-10-02T20:26:27Z,43.5007512,45.081605,83
China,2010-07-15T09:35:00Z,38.487193,106.230908,54
China,2006-06-09T12:06:23Z,50.795058,124.291125,59
China,1942-10-04T09:13:58Z,38.238247,114.491954,15
Russia,1998-05-12T20:03:38Z,55.5772494,39.526478,46
China,1960-07-18T11:48:35Z,23.3362272,112.7222244,24
Russia,1958-02-25T14:37:07Z,43.6522553,45.3106104,95
China,1951-06-25T07:52:14Z,39.726929,116.341395,4
China,1944-02-20T03:46:09Z,45.477613,124.47553,77
France,2001-08-16T13:22:59Z,44.8369535,-0.5820236,59
China,1981-11-17T04:58:23Z,29.338873,110.525449,61
China,1981-07-19T23:31:07Z,37.627661,116.391507,91
China,1971-01-22T00:43:50Z,40.531867,96.543937,17
Russia,2002-08-12T11:54:25Z,45.1338056,41.0192289,44
China,2010-01-25T16:11:45Z,31.13856,113.744367,1
China,1975-05-21T12:51:26Z,22.3995577,112.5522592,54
China,1945-06-06T18:44:39Z,28.454511,114.014752,70
China,2013-09-04T05:26:42Z,26.8429645,107.2902839,20
Russia,1961-06-01T19:07:22Z,61.6614104,40.2019954,36
France,1991-04-23T00:09:06Z,43.8447278,4.3520438,10
China,1992-09-01T19:08:47Z,31.7311971,117.2313179,9
Russia,1999-08-28T16:29:44Z,67.6043051,30.4421656,8
China,1979-04-02T18:00:11Z,22.529403,103.93935,26
China,1959-10-20T12:51:13Z,21.857958,111.982232,62
Russia,1989-07-09T10:21:16Z,54.2474065,37.6031799,13
China,1970-02-10T13:52:37Z,38.465785,106.278153,31
China,2011-09-07T11:15:45Z,41.805699,123.431472,28
China,1989-09-26T22:44:44Z,38.25555,90.31196,11
United States,1989-06-16T15:37:39Z,41.5359175,-93.5711466,68
United States,1986-07-26T21:40:35Z,45.01,-93.65,21
China,1987-01-02T00:56:45Z,31.642718,105.170845,67
China,1987-05-02T09:16:21Z,29.528923,104.990101,45
China,2009-09-10T02:56:46Z,30.049992,121.159547,1
China,1984-08-08T01:15:15Z,31.893274,121.255306,49
Russia,1993-02-03T21:52:02Z,57.6067536,47.9368725,62
China,1969-06-04T04:45:58Z,23.021478,113.121435,70
China,1948-03-16T13:50:19Z,27.95793,109.589666,87
China,1973-04-07T01:45:08Z,34.273409,109.064671,84
China,2017-06-11T13:38:41Z,30.203152,115.429626,29
China,1952-02-11T04:01:46Z,36.599744,101.803717,96
United Kingdom,1962-06-13T00:17:05Z,51.900276,-1.504654,24
Russia,1989-09-04T16:55:38Z,50.65854,128.00932,15
China,2000-06-29T10:17:44Z,30.975286,105.190522,99
United States,1994-11-10T20:29:50Z,32.53,-92.08,90
China,1956-07-02T05:32:40Z,32.704922,115.970718,62
China,2013-03-22T15:53:13Z,35.529096,112.849999,96
France,1962-07-04T01:40:02Z,46.280212,-0.4601725,34
China,2007-12-21T06:39:12Z,39.8230099,119.4891595,99
China,1973-01-28T01:58:29Z,28.260141,112.571923,63
United States,2012-03-26T05:16:09Z,31.77,-106.43,89
China,1986-09-11T11:50:26Z,29.367984,111.177234,96
China,1957-04-08T11:02:15Z,35.588399,99.982552,48
China,1966-10-05T07:40:13Z,35.498159,106.330646,73
China,1947-11-04T18:23:55Z,36.628305,101.765843,96
China,1993-08-01T01:47:20Z,31.848137,117.284858,71
Russia,2010-01-02T15:39:15Z,56.1531877,48.3208097,66
France,1947-04-06T01:27:52Z,48.7877067,2.3300777,56
Russia,1982-06-11T03:00:33Z,46.3611841,38.2725015,28
China,1946-11-16T20:49:13Z,28.743812,118.272674,43
United States,1981-08-27T15:29:51Z,42.1214396,-80.0852698,33
China,1984-05-08T05:36:08Z,37.510549,118.325556,55
Russia,2000-09-19T08:09:07Z,52.6738562,41.7631303,43
China,1963-11-26T12:54:05Z,29.0994968,119.700816,34
China,1972-04-18T05:58:48Z,42.9282,120.570127,75
China,1974-11-03T09:05:18Z,29.183761,96.85942,61
Russia,2004-02-14T13:50:53Z,52.2960003,35.4190083,71
United States,2003-01-30T11:59:48Z,27.8684314,-82.5270388,92
China,1954-01-01T00:14:42Z,28.706919,117.821005,86
Russia,1979-08-02T04:15:18Z,61.0816055,46.4952164,98
China,1973-12-09T03:39:47Z,29.16113,112.683016,35
China,1994-01-09T15:50:28Z,27.483293,120.562211,19
Russia,1980-07-07T01:20:36Z,53.1892176,50.119277,5
China,1988-02-16T09:28:29Z,39.8,97.9,58
China,2001-06-22T23:23:30Z,42.972096,126.746309,63
Russia,1970-02-08T11:47:58Z,55.658365,37.615691,14
China,2006-03-30T22:59:52Z,27.542493,110.702501,38
China,1970-09-06T00:37:07Z,32.478018,117.167563,78
China,1986-09-02T10:18:06Z,26.87365,115.102495,56
China,2001-07-28T03:45:44Z,30.169665,121.266579,31
China,1971-11-12T02:49:55Z,29.5530941,118.9353968,2
China,1962-03-06T13:50:07Z,27.062407,108.739519,2
France,1976-04-24T23:48:27Z,48.6059152,-4.1166788,42
Russia,1980-03-29T21:53:23Z,53.3326761,48.6446327,85
China,2017-12-08T02:33:14Z,30.572815,104.066801,49
France,1963-05-14T17:22:36Z,48.5851876,7.7342943,14
China,2014-06-29T04:46:27Z,29.5530941,118.9353968,22
China,1943-01-02T23:30:18Z,28.6846153,115.8922746,10
China,1961-11-07T20:03:00Z,22.265811,113.543784,87
China,1970-02-02T06:11:42Z,27.845011,117.383641,14
China,2017-03-03T14:29:49Z,23.124745,113.331389,38
China,1987-03-03T13:47:50Z,33.5668566,-83.477106,20
China,1949-02-20T06:59:15Z,32.519246,108.533377,19
France,2016-01-02T19:47:52Z,45.2977605,2.5135985,53
China,2001-07-10T03:12:35Z,39.197212,117.059698,95
China,1957-07-16T12:06:29Z,42.579473,127.009201,47
Russia,1964-05-16T15:08:13Z,55.4211657,36.6585689,82
China,1994-12-07T05:58:00Z,36.2863829,120.2504861,92
China,2006-09-29T20:00:01Z,34.87725,103.8617,39
China,1944-06-27T15:23:38Z,39.202804,113.117269,80
China,1958-02-06T09:44:42Z,22.585397,113.38492,60
France,1950-08-15T05:21:37Z,45.1934857,5.7218985,58
China,1947-08-25T13:43:31Z,36.951766,102.494696,63
Russia,2003-01-20T07:58:39Z,43.7071168,44.643763,29
China,1980-03-25T17:46:41Z,22.183206,112.305145,85
Russia,1951-04-22T16:17:08Z,54.4515199,101.1756457,61
China,1997-04-01T20:47:45Z,28.51845,110.278039,17
France,1995-05-04T08:09:54Z,45.417087,-0.302506,71
China,1999-05-19T16:48:51Z,23.113478,113.417068,34
United Kingdom,1985-10-27T08:25:58Z,53.3758568,-3.1605843,68
Russia,1975-02-09T12:20:17Z,45.2379183,38.9712949,12
China,1949-04-25T08:53:16Z,34.058401,107.319116,27
United States,1978-04-19T22:23:15Z,40.7,-111.99,52
Russia,1991-12-29T06:58:05Z,55.439054,37.7662154,50
China,1993-01-14T01:09:49Z,37.175532,121.790282,80
China,1998-11-02T06:08:54Z,27.632803,111.793796,18
United States,1993-06-19T07:12:15Z,39.96,-83,90
France,1967-05-07T01:04:50Z,48.8480625,2.3300993,37
China,1956-02-16T20:26:42Z,29.315251,90.599794,28
China,1954-12-04T18:21:35Z,30.798325,107.96879,65
China,2008-12-02T06:52:13Z,36.7821,117.032171,67
Russia,1990-12-22T22:18:16Z,54.2907459,47.3722118,12
China,1985-11-08T11:55:20Z,43.492878,82.415548,15
China,1981-06-06T21:18:18Z,27.69965,108.839557,31
China,2009-04-09T15:38:49Z,28.404102,113.020456,50
China,2003-05-22T15:39:43Z,39.505925,106.726099,91
United States,1966-09-14T12:59:10Z,25.7564471,-80.2056382,67
China,2000-09-04T15:16:49Z,46.562247,125.1353261,53
Pakistan,2015-12-04T20:10:25Z,32.9005808,71.4599651,14
China,1971-05-11T23:57:54Z,22.898014,111.773407,36
China,1973-01-02T21:35:41Z,31.231521,121.45076,51
China,1989-05-05T15:15:54Z,26.0765362,119.2807519,20
China,1952-08-04T09:44:03Z,23.797309,115.445538,92
Russia,1977-02-13T07:52:17Z,62.155883,129.8236089,92
China,2007-07-15T14:49:23Z,30.677233,121.015142,47
China,1974-05-04T22:30:00Z,37.219543,122.117995,20
China,1978-04-14T16:53:47Z,24.674624,102.904318,85
China,1962-01-19T04:43:25Z,40.412369,117.103146,56
United States,1967-10-06T18:35:58Z,39.1228935,-95.624767,95
France,1994-11-21T23:21:15Z,44.7721717,-0.6995221,21
United States,1967-05-13T23:42:20Z,41.7396715,-85.9262162,70
China,1993-01-09T02:33:02Z,33.387684,114.021538,70
United States,2012-07-17T02:51:45Z,35.8559647,-86.3944828,35
China,2008-09-27T19:40:50Z,39.073815,117.166453,30
United States,1999-02-28T09:53:27Z,41.7429283,-87.7123355,85
China,2000-11-11T05:12:06Z,30.314378,118.662941,19
China,2005-07-18T06:46:26Z,28.133945,111.656407,88
China,2000-08-25T02:50:46Z,34.401112,107.759245,63
China,1996-09-15T07:56:50Z,37.540419,120.787999,20
France,2002-06-18T06:12:06Z,48.7946784,2.3067496,68
China,1980-08-01T08:38:46Z,29.703113,107.389298,67
China,1984-06-17T01:43:55Z,45.911222,127.059486,60
France,1962-11-26T04:09:04Z,47.8225694,0.3908219,59
China,1974-09-10T15:34:09Z,47.31878,130.274684,100
China,1985-04-20T02:25:31Z,30.9162065,121.6776404,92
Russia,1951-07-14T06:10:40Z,50.8497,40.1719,36
Pakistan,1988-03-19T09:32:40Z,32.5992796,73.4803095,36
Russia,1966-05-08T20:31:04Z,55.9835962,37.1465904,27
China,1958-08-14T15:07:07Z,22.517585,113.39277,56
France,1971-03-25T11:25:09Z,43.8317876,4.3686291,25
China,1949-10-13T05:17:44Z,29.5530941,118.9353968,35
China,1988-12-27T10:43:52Z,22.512308,110.079171,3
China,1962-12-14T15:28:12Z,39.898215,116.178179,27
France,1953-03-07T22:00:54Z,48.1079676,-1.5212701,4
China,1955-07-24T19:28:46Z,46.592721,131.164723,32
China,1986-09-03T16:42:52Z,28.441209,115.360554,55
China,1981-01-23T06:15:56Z,28.822415,112.206429,42
France,1977-08-17T08:55:50Z,45.697904,0.964671,97
China,2011-03-12T21:25:46Z,34.26645,108.960747,81
China,1992-04-17T03:16:13Z,39.982718,117.078294,11
Russia,1952-06-05T12:40:09Z,60.9596322,34.0219218,82
China,1990-07-15T21:15:16Z,34.56128,105.58335,53
Russia,1955-03-27T13:34:17Z,54.3266413,40.8909987,19
China,1988-03-11T05:07:53Z,36.947175,117.702372,12
China,1968-04-29T01:34:34Z,34.226971,104.228437,35
China,2005-05-04T16:01:05Z,31.138677,120.645158,89
China,2009-02-03T18:00:17Z,47.247125,127.1219196,91
China,1957-03-27T03:57:32Z,22.940196,113.943916,49
France,1970-05-22T10:01:28Z,43.0429124,1.9038837,95
China,2004-08-23T08:14:15Z,24.960385,118.386279,60
China,2002-07-01T15:27:10Z,34.746611,113.625328,14
China,1996-11-23T02:47:51Z,38.253338,109.503758,51
China,2012-02-22T20:32:32Z,34.756916,114.441285,67
China,1999-11-14T18:38:42Z,28.786167,108.176236,53
China,1961-03-04T21:21:17Z,28.55386,112.35518,43
United Kingdom,1958-02-22T15:34:08Z,52.4608207,-1.8886845,59
China,1965-11-21T07:51:12Z,29.5530941,118.9353968,54
Pakistan,1963-05-11T20:57:48Z,24.7932832,68.3001994,91
China,1975-07-09T07:03:56Z,38.371402,117.329949,58
China,1998-09-03T17:05:54Z,22.585397,113.38492,39
China,1973-03-25T05:32:56Z,34.2818498,109.002843,2
United Kingdom,2000-12-27T07:09:36Z,51.5142805,-0.1284654,30
United States,1943-11-18T07:41:05Z,39.7761758,-89.6051502,1
China,1969-07-19T15:07:19Z,28.822415,112.206429,6
China,1975-04-19T22:37:15Z,39.983599,98.90327,7
China,1969-07-18T18:02:04Z,23.14855,113.249429,21
Pakistan,1973-08-11T09:47:02Z,27.5331693,68.7254605,87
Russia,1944-02-21T11:46:55Z,52.6551,85.09858,19
China,1980-08-31T17:04:12Z,24.117102,117.613808,30
Russia,1969-08-26T06:51:17Z,47.8569408,39.9593673,9
China,1991-10-29T14:55:03Z,32.5571916,-84.9047641,46
China,1997-12-01T22:09:26Z,22.529403,103.93935,48
China,2006-12-03T23:23:42Z,32.060255,118.796877,95
Russia,1997-12-27T13:15:17Z,43.9923818,43.7706401,13
China,1992-12-09T21:16:40Z,34.600701,108.722463,92
China,1949-04-05T12:55:31Z,32.197328,117.210612,63
Russia,2017-11-06T07:55:39Z,58.7113992,50.1706415,18
Russia,1962-03-01T21:57:24Z,43.7190199,44.4852966,42
France,1986-10-04T15:18:49Z,43.7441795,2.511999,50
China,1993-07-27T07:43:28Z,32.20076,79.18447,50
China,1984-12-29T16:18:09Z,29.744095,117.217373,22
Russia,1984-10-01T13:51:45Z,55.5939065,61.6171856,71
China,1967-09-16T16:26:00Z,29.849977,95.775494,100
Russia,1992-01-07T18:12:07Z,53.6911177,33.5027704,4
China,1997-12-06T17:19:58Z,24.130374,110.189462,8
China,1963-01-28T08:10:22Z,34.513586,108.317445,48
China,1962-06-06T19:04:09Z,28.46763,119.922796,47
France,1950-04-15T03:09:34Z,48.689836,6.17445,7
United States,1943-01-15T14:52:09Z,30.3121498,-81.7375526,49
France,1999-06-30T09:31:07Z,48.9741782,2.5130988,10
United States,2008-10-29T05:41:29Z,39.95,-75.16,66
China,1975-08-10T05:09:39Z,27.5409825,109.9643521,80
France,1985-05-08T19:48:10Z,43.0429124,1.9038837,17
China,1953-07-03T21:21:02Z,24.018269,114.987268,79
Russia,1999-10-30T09:11:04Z,45.1242818,39.3719039,30
Russia,2017-06-15T04:49:11Z,53.98492,38.03593,91
China,1960-08-21T04:07:29Z,29.248085,117.861797,65
Russia,2012-06-30T02:03:40Z,57.7297471,56.3724781,21
China,1990-04-28T10:41:19Z,23.632671,113.529424,37
Russia,1974-06-18T23:54:30Z,52.423321,47.202499,1
France,1994-02-05T19:14:03Z,48.7057309,2.2186743,18
China,2006-05-15T01:31:51Z,23.027054,113.111203,69
Russia,1964-10-18T02:05:24Z,52.8416063,53.4831411,30
China,1949-03-04T05:57:53Z,38.47436,106.239679,66
Pakistan,1962-03-15T00:21:10Z,24.7740708,68.488659,44
China,1960-08-08T18:14:54Z,33.258244,115.374821,83
Russia,1948-08-15T15:12:13Z,51.766482,55.36468,47
China,1999-04-20T12:28:44Z,30.9882241,121.1241334,18
China,1944-10-15T18:09:26Z,21.795522,109.825927,89
China,1965-04-26T11:34:12Z,27.817808,114.917346,15
China,1975-11-18T03:31:41Z,36.951766,102.494696,10
China,1953-09-28T08:55:23Z,39.896995,116.46662,5
China,2001-04-09T16:01:10Z,35.615079,111.547182,93
France,2003-10-29T19:27:45Z,43.9763746,4.9052738,30
China,2018-01-08T06:28:19Z,35.121884,119.318928,21
China,1968-10-06T05:51:05Z,40.338328,119.73214,21
China,1977-01-14T21:46:26Z,42.059759,86.574067,51
Russia,1983-11-10T02:59:48Z,51.4753297,46.1136773,26
Russia,1953-11-19T03:34:53Z,55.0615034,59.9082587,82
China,1979-09-07T21:31:18Z,29.654838,91.140552,26
China,1981-05-04T17:00:55Z,40.882377,122.685217,46
China,2011-10-13T04:17:05Z,46.398418,124.891039,24
China,1999-11-26T23:16:29Z,35.4937018,110.3838909,53
Russia,1956-02-09T15:30:57Z,57.3921266,63.7602594,36
China,1978-07-19T05:08:21Z,37.646108,120.477813,48
China,2007-05-21T02:22:40Z,29.625298,110.912619,31
China,1943-07-23T19:00:58Z,24.44218,114.938684,79
Russia,2000-10-18T05:44:11Z,48.816388,44.4777899,11
China,1969-07-29T04:46:58Z,37.518314,111.144319,93
China,1962-03-22T02:16:52Z,36.307064,120.39631,67
China,2013-09-13T08:00:50Z,22.533012,113.930475,19
China,1997-11-02T14:17:27Z,28.154774,116.870383,68
Pakistan,1976-10-27T19:49:17Z,33.7730407,72.4301105,59
China,1957-03-25T19:17:12Z,29.4976934,106.5730826,80
China,1966-04-09T11:50:34Z,37.510549,118.325556,62
France,1979-03-02T12:13:58Z,47.3752386,-0.8453268,87
China,1984-03-27T14:20:46Z,23.021478,113.121435,72
United States,1953-11-06T03:28:56Z,35.9015016,-81.138279,95
China,1953-05-26T15:04:50Z,34.683646,112.469023,42
China,1956-01-10T16:22:05Z,22.356083,112.562369,38
China,1977-05-03T06:06:41Z,34.519664,113.004052,69
China,1969-03-17T06:29:49Z,26.015959,116.602435,62
China,1981-03-09T00:16:04Z,27.578926,110.040315,74
China,1964-08-05T01:05:01Z,39.959953,116.298326,54
France,1950-11-08T12:20:29Z,46.5217941,6.0221735,69
United States,2000-08-30T07:00:06Z,42.9115599,-85.6264635,53
China,2013-02-01T23:24:44Z,29.625298,110.912619,16
Russia,1981-12-19T04:11:31Z,56.9396428,37.3590646,7
China,1945-08-09T07:58:52Z,29.999504,106.65627,2
United States,1972-05-25T01:14:09Z,33.9216582,-84.3772367,57
China,2005-06-10T20:13:59Z,41.57365,120.4493879,91
Pakistan,2017-04-22T11:14:19Z,29.8677682,67.3202088,78
China,1965-09-03T03:10:06Z,28.888555,120.047651,22
China,1965-07-28T08:17:11Z,23.131797,113.407143,32
China,1964-08-13T04:36:41Z,35.683952,-105.943638,44
United States,1962-12-26T23:47:33Z,41.88,-87.63,23
China,1968-04-01T22:17:20Z,30.898495,118.891482,13
Russia,1998-07-21T08:51:55Z,57.8991434,34.9594447,6
Russia,1985-09-04T14:19:58Z,55.7558426,52.061524,17
China,1968-05-12T15:04:59Z,28.668504,108.342379,89
China,1963-12-04T17:29:10Z,35.2,112.1666667,80
North Korea,1990-01-01T14:23:36Z,41.4174956,128.2035269,30
China,1946-11-30T23:38:22Z,35.202503,102.521807,1
China,1944-08-06T05:05:04Z,36.769677,101.48989,38
China,1948-11-02T23:23:12Z,38.071659,114.275059,25
France,1957-10-13T03:29:19Z,44.819386,4.596042,93
Russia,1999-02-11T15:57:34Z,44.263401,43.7629729,31
China,2015-09-27T12:22:30Z,37.175532,121.790282,52
China,2000-04-14T21:18:58Z,28.578756,89.227769,24
China,1953-12-16T23:51:13Z,35.563819,116.651828,29
China,1958-07-08T09:35:29Z,28.165293,121.35142,45
China,1960-06-20T09:48:27Z,29.270311,88.880492,30
Russia,1972-12-25T00:19:54Z,44.3703217,40.8103225,91
China,1998-05-29T20:08:36Z,39.138304,117.100087,51
United Kingdom,1963-08-06T18:07:09Z,52.4608207,-1.8886845,67
China,1950-07-06T02:41:12Z,39.377733,99.819316,4
Russia,1957-04-05T14:36:36Z,57.0128795,35.9200308,2
China,1992-12-30T17:51:07Z,38.05106,114.463347,17
China,1952-04-23T11:25:38Z,34.746611,113.625328,50
Russia,2015-02-07T13:16:13Z,54.2084536,72.9614362,21
China,2011-09-11T01:04:38Z,34.718968,110.693663,14
China,2005-07-26T14:18:08Z,29.859714,113.801133,85
China,1945-08-24T09:43:00Z,29.859714,113.801133,42
France,1986-07-15T21:06:26Z,47.287125,5.993932,89
China,1947-01-10T04:44:22Z,35.490701,112.851831,32
China,1955-11-15T14:21:14Z,35.657343,107.730679,94
Russia,1976-05-17T10:31:38Z,52.0108,86.5467,99
China,1975-02-19T14:55:30Z,31.7711077,119.9742793,99
China,1987-04-10T13:27:28Z,-6.9206542,39.2187828,8
